City,Team,Games,AB,HR,Elevation,Stadium HR
San Francisco,Giants,162,5579,167,10,161
Kansas City,Royals,162,5496,162,858,162
Miami,Marlins,162,5512,146,5,173
St. Louis,Cardinals,162,5449,210,438,240
Pittsburgh,Pirates,162,5657,163,725,188
Tampa,Rays,162,5628,217,40,259
San Diego,Padres,162,5391,219,14,202
Boston,Red Sox,162,5770,245,16,205
Oakland,Athletics,162,5561,257,1,185
Phoenix,Diamondbacks,162,5633,220,1060,227
Detroit,Tigers,161,5549,149,577,208
Chicago (N),Cubs,162,5461,256,601,210
Cleveland,Indians,162,5425,223,660,220
New York (N),Mets,162,5624,242,12,192
Cincinnati,Reds,162,5450,227,490,227
Atlanta,Braves,162,5560,249,1024,228
Chicago (A),White Sox,161,5529,182,594,231
Minneapolis,Twins,162,5732,307,827,235
Dallas,Rangers,162,5540,223,545,239
Anaheim,Angels,162,5542,220,145,241
Seattle,Mariners,162,5500,239,17,241
Milwaukee,Brewers,162,5542,250,618,201
Washington D.C.,Nationals,162,5512,231,7,213
Los Angeles,Dodgers,162,5493,279,532,246
Philadelphia,Phillies,162,5571,215,-7,154
New York (A),Yankees,162,5583,306,23,257
Toronto,Blue Jays,162,5493,247,269,270
Denver,Rockies,162,5660,224,5187,275
Houston,Astros,162,5613,288,30,282
Baltimore,Orioles,162,5596,213,36,289
